mpirun --report-bindings -np 2 -npernode 1 ./IMB-MPI1 PingPong -mslog 28  2>/dev/null |grep -v ^# |grep -v -e '^$' >> ucx_n1.txt;;;;;
ct1pt-tnode007;ct1pt-tnode009;;;;
3,5;11,86;;;;
#bytes;#repetitions;t[usec];Mbytes/sec;t(computed);Mbytes/sec(computed)
0;1000;0,99;0;0,993;0
1;1000;0,99;1,01;0,991;1,009
2;1000;1;2;1;1,996
4;1000;1;4;1;4,003
8;1000;0,99;8,05;0,994;8,047
16;1000;1;16,06;0,998;16,046
32;1000;1,01;31,54;1,015;31,505
64;1000;1,14;55,9;1,143;55,946
128;1000;1,19;107,17;1,194;107,17
256;1000;1,43;178,98;1,64;163,477
512;1000;1,51;339,69;1,51;339,085
1024;1000;1,66;616;1,667;614,308
2048;1000;2,32;881,24;2,328;880,38
4096;1000;3,18;1288,3;3,186;1285,851
8192;1000;4,47;1834,38;4,476;1830,637
16384;1000;6,25;2622,52;6,291;2605,155
32768;1000;8,52;3844,21;8,454;3876,203
65536;640;12,36;5301,57;12,282;5335,995
131072;320;18,51;7081,24;18,484;7091,575
262144;160;32,7;8015,85;32,717;8012,474
524288;80;54,14;9684,38;55,634;9431,801
1048576;40;96,94;10816,62;98,035;10696,398
2097152;20;182,21;11509,33;182,298;11503,972
4194304;10;352,77;11889,64;353,077;11879,291
