mpirun -np 2  --report-bindings --map-by socket ./IMB-MPI1 PingPong -mslog 28  2>/dev/null |grep -v ^# |grep -v -e '^$' >> ucx_socket.txt;;;;;
ct1pt-tnode007;;;;;
2,7;14,36;;;;
#bytes;#repetitions;t[usec];Mbytes/sec;t(computed);Mbytes/sec(computed)
0;1000;0,4;0;0,412;0
1;1000;0,4;2,52;0,399;2,506
2;1000;0,4;5,01;0,399;5,015
4;1000;0,4;10;0,4;9,999
8;1000;0,4;20,14;0,401;20,018
16;1000;0,4;39,86;0,405;39,622
32;1000;0,58;54,89;0,567;56,375
64;1000;0,58;110,04;0,563;113,668
128;1000;0,87;146,4;0,896;142,911
256;1000;0,94;272,85;0,943;271,545
512;1000;1,14;447,6;1,13;453,288
1024;1000;1,32;773,36;1,306;783,973
2048;1000;2,09;978,22;2,1;975,269
4096;1000;2,99;1369,88;3,006;1362,972
8192;1000;4,81;1702,44;4,841;1692,151
16384;1000;7,24;2261,97;7,377;2223,105
32768;1000;12,98;2525,33;13,191;2485,688
65536;640;24,25;2702,03;24,608;2664,753
131072;320;45,94;2853,07;46,292;2833,209
262144;160;13,18;19884,47;13,569;19347,581
524288;80;22,9;22897,72;24,395;21563,658
1048576;40;52,19;20090,19;54,407;19304,484
2097152;20;147,37;14230,71;144,249;14549,234
4194304;10;307,68;13631,9;303,366;13828,282
