mpirun -np 2 -ppn=2 -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1 PingPong   -mslog 28  2>/dev/null |grep -v ^# |grep -v -e '^$' >> intel_proc.txt;;;;;
ct1pt-tnode007;;;;;
"0,02; 6,25";;;;;
#bytes;#repetitions;t[usec];Mbytes/sec;t(computed);Mbytes/sec(computed)
0;1000;0,43;0;0,429;0
1;1000;0,43;2,31;0,433;2,304
2;1000;0,44;4,6;0,432;4,609
4;1000;0,43;9,24;0,435;9,196
8;1000;0,44;18,34;0,432;18,46
16;1000;0,43;36,83;0,433;36,833
32;1000;0,47;68,17;0,47;68,024
64;1000;0,47;136,2;0,472;135,376
128;1000;0,57;225,6;0,57;224,862
256;1000;0,62;412,43;0,621;413,859
512;1000;0,79;647,82;0,811;632,21
1024;1000;0,89;1154,68;0,89;1151,333
2048;1000;1,05;1945,12;1,063;1924,353
4096;1000;1,42;2881,12;1,48;2767,04
8192;1000;1,92;4257,77;1,976;4147,367
16384;1000;3,28;4988,51;3,299;4967,257
32768;1000;5,05;6483,03;5,093;6432,818
65536;640;9,27;7068,82;9,275;7066,703
131072;320;18;7282,72;17,93;7310,59
262144;160;34,57;7583,25;34,467;7605,897
524288;80;83,7;6263,94;83,663;6267,083
1048576;40;170,45;6151,92;170,227;6159,863
2097152;20;337,71;6209,92;337,611;6211,738
4194304;10;670,45;6255,96;669,91;6260,996
