mpirun -np 2 -ppn=2 -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1 PingPong  -mslog 28  2>/dev/null |grep -v ^# |grep -v -e '^$' >> intel_socket.txt;;;;;
ct1pt-tnode007;;;;;
-1,59;11,25;;;;
#bytes;#repetitions;t[usec];Mbytes/sec;t(computed);Mbytes/sec(computed)
0;1000;0,23;0;0,23;0
1;1000;0,24;4,18;0,236;4,246
2;1000;0,24;8,45;0,237;8,497
4;1000;0,24;16,89;0,237;16,973
8;1000;0,24;33,75;0,236;34,008
16;1000;0,24;67,3;0,237;67,719
32;1000;0,25;130,11;0,242;131,252
64;1000;0,25;260,1;0,244;261,765
128;1000;0,26;492,22;0,26;493,814
256;1000;0,28;902,77;0,281;906,32
512;1000;0,41;1241,34;0,418;1226,443
1024;1000;0,45;2254,74;0,451;2270,858
2048;1000;0,59;3474,04;0,597;3434,261
4096;1000;0,84;4865,91;0,849;4820,871
8192;1000;1,37;5965,81;1,424;5751,646
16384;1000;2,37;6922,48;2,351;6972,361
32768;1000;3,49;9379,67;3,501;9361,636
65536;640;5,69;11508,2;5,684;11531,648
131072;320;8,58;15267,64;8,574;15286,641
262144;160;14,9;17592,3;14,876;17621,982
524288;80;40,03;13098,65;41,149;12743,341
1048576;40;81,28;12900,79;81,101;12929,322
2097152;20;154,47;13576,35;153,681;13646,174
4194304;10;401,98;10434,1;390,327;10749,558
