mpirun -np 2 --mca pml ob1 --report-bindings --map-by core --mca btl tcp,self ./IMB-MPI1 PingPong -mslog 28  2>/dev/null |grep -v ^# |grep -v -e '^$' >> ob1_core.txt;;;;;
ct1pt-tnode007;;;;;
9,1;7,12;;;;
#bytes;#repetitions;t[usec];Mbytes/sec;t(computed);Mbytes/sec(computed)
0;1000;5,39;0;5,327;0
1;1000;5,48;0,18;5,411;0,183
2;1000;5,5;0,36;5,432;0,368
4;1000;5,52;0,73;5,419;0,739
8;1000;5,53;1,45;5,419;1,477
16;1000;5,5;2,91;5,414;2,955
32;1000;5,51;5,8;5,423;5,903
64;1000;5,52;11,6;5,437;11,773
128;1000;5,59;22,91;5,501;23,285
256;1000;5,65;45,29;5,543;46,193
512;1000;5,68;90,09;5,592;91,62
1024;1000;6,3;162,42;6,216;164,809
2048;1000;6,11;335,07;6,011;340,966
4096;1000;7,1;577,19;6,993;586,046
8192;1000;7,51;1091,37;7,37;1112,201
16384;1000;9,67;1693,82;9,618;1704,148
32768;1000;15,71;2085,21;15,494;2115,82
65536;640;30,5;2148,37;30,071;2180,141
131072;320;43,13;3039,13;42,629;3076,435
262144;160;60,94;4302;60,959;4301,523
524288;80;95,51;5489,2;94,252;5563,55
1048576;40;161,31;6500,28;160,035;6553,339
2097152;20;297,86;7040,66;301,575;6954,942
4194304;10;593,64;7065,43;594,841;7052,74
