mpirun -np 2 --mca pml ob1 --report-bindings --map-by socket --mca btl vader,self ./IMB-MPI1 PingPong -mslog 28  2>/dev/null |grep -v ^# |grep -v -e '^$' >> ob1_socket_vader.txt;;;;;
ct1pt-tnode007;;;;;
-0,02;10,31;;;;
#bytes;#repetitions;t[usec];Mbytes/sec;t(computed);Mbytes/sec(computed)
0;1000;0,54;0;0,532;0
1;1000;0,62;1,62;0,611;1,638
2;1000;0,63;3,18;0,615;3,254
4;1000;0,62;6,48;0,615;6,527
8;1000;0,62;12,92;0,61;13,112
16;1000;0,66;24,07;0,65;24,656
32;1000;0,74;43,09;0,684;46,929
64;1000;0,9;71,26;0,813;78,773
128;1000;1,05;122,16;1,019;126,312
256;1000;1,25;205,47;1,186;215,994
512;1000;1,28;400,84;1,123;458,199
1024;1000;1,49;687,11;1,427;718,514
2048;1000;1,78;1148,4;1,72;1193,442
4096;1000;2,84;1440,31;2,759;1485,21
8192;1000;3,25;2520,17;3,264;2511,613
16384;1000;3,59;4565,64;3,552;4614,495
32768;1000;5,19;6318,78;4,925;6674,372
65536;640;6,5;10086,64;6,228;10525,955
131072;320;11,53;11369,31;11,029;11952,671
262144;160;19,32;13570,58;19,126;13725,859
524288;80;39,35;13322,58;38,382;13674,352
1048576;40;90,69;11562,82;90,601;11575,602
2097152;20;221,3;9476,66;216,674;9683,49
4194304;10;404,98;10356,75;404,887;10359,329
